fen,success,depth,nodes,time_s,score
1B5b/1p1N4/1Pp5/2P3p1/K1pk3p/2N5/2nP1p2/1b3B2 w - - 0 1,True,1,60,1.924,+50499
1K2N2B/p1pR1P1p/1pP1k3/3p2nB/1r3qP1/1N1r4/4p3/4b3 w - - 0 1,True,1,68,0.08,+50499
1N3b2/p1kN3p/K4PPP/P1p1P3/2R2P2/1P1P4/3pppBB/3Q1R2 w - - 0 1,True,2,844,0.309,+49817
1Q6/6p1/4n1p1/4p3/3Ppbp1/4pkN1/4N3/5K2 w - - 0 1,True,2,354,0.123,+50471
1R6/3p4/2pP4/2k1P3/7p/3RN3/2PP3K/8 w - - 0 1,True,2,683,0.113,+49047
2b5/2N2p2/6p1/4N3/1B1k1p1r/Kp6/n7/4Q3 w - - 0 1,True,2,559,0.081,+50138
2K3n1/1pB1b3/1R3pP1/2Nk1p2/B6q/1N1P4/2Pp2P1/6r1 w - - 0 1,True,2,449,0.183,+50397
3B4/8/p4N2/1pP5/1k1NBp2/1P2b3/K1n1P3/8 w - - 0 1,True,2,573,0.085,+49823
3bN1n1/1pp5/4p2p/1P1kP3/1B4N1/rpPB2p1/p3K3/8 w - - 0 1,True,1,69,0.055,+50499
3r4/2R1P2N/p3Bp2/K2PkP2/1P5P/2p1P3/pBp1R3/Q2N4 w - - 0 1,True,2,744,0.199,+49349
