fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
2rr3k/pp3pp1/1nnqbN1p/3pN3/2pP4/2P3Q1/PPB4P/R4RK1 w - - 0 1,WAC.001,[Move.from_uci('g3g6')],[],e5f7,False,,9.92,+1114
8/7p/5k2/5p2/p1p2P2/Pr1pPK2/1P1R3P/8 b - - 0 1,WAC.002,[Move.from_uci('b3b2')],[],c4c3,False,,20.429,-58
5rk1/1ppb3p/p1pb4/6q1/3P1p1r/2P1R2P/PP1BQ1P1/5RKN w - - 0 1,WAC.003,[Move.from_uci('e3g3')],[],e3g3,True,,116.402,+229
r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4 w - - 0 1,WAC.004,[Move.from_uci('h6h7')],[],h6h7,True,,140.53,+924
5k2/6pp/p1qN4/1p1p4/3P4/2PKP2Q/PP3r2/3R4 b - - 0 1,WAC.005,[Move.from_uci('c6c4')],[],c6c4,True,,30.897,+21
7k/p7/1R5K/6r1/6p1/6P1/8/8 w - - 0 1,WAC.006,[Move.from_uci('b6b7')],[],h6g5,False,,4.844,+187
rnbqkb1r/pppp1ppp/8/4P3/6n1/7P/PPPNPPP1/R1BQKBNR b KQkq - 0 1,WAC.007,[Move.from_uci('g4e3')],[],d8h4,False,,7.469,+241
r4q1k/p2bR1rp/2p2Q1N/5p2/5p2/2P5/PP3PPP/R5K1 w - - 0 1,WAC.008,[Move.from_uci('e7f7')],[],e7e8,False,,12.454,+1823
3q1rk1/p4pp1/2pb3p/3p4/6Pr/1PNQ4/P1PB1PP1/4RRK1 b - - 0 1,WAC.009,[Move.from_uci('d6h2')],[],h4h1,False,,107.115,+675
2br2k1/2q3rn/p2NppQ1/2p1P3/Pp5R/4P3/1P3PPP/3R2K1 w - - 0 1,WAC.010,[Move.from_uci('h4h7')],[],g6h7,False,,8.352,+616
r1b1kb1r/3q1ppp/pBp1pn2/8/Np3P2/5B2/PPP3PP/R2Q1RK1 w kq - 0 1,WAC.011,[Move.from_uci('f3c6')],[],f3c6,True,,5.89,+593
4k1r1/2p3r1/1pR1p3/3pP2p/3P2qP/P4N2/1PQ4P/5R1K b - - 0 1,WAC.012,[Move.from_uci('g4f3')],[],g4f3,True,,54.97,+1709
5rk1/pp4p1/2n1p2p/2Npq3/2p5/6P1/P3P1BP/R4Q1K w - - 0 1,WAC.013,[Move.from_uci('f1f8')],[],f1f8,True,,14.739,+803
r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,WAC.014,[Move.from_uci('h3h7')],[],h3h7,True,,10.291,+473
1R6/1brk2p1/4p2p/p1P1Pp2/P7/6P1/1P4P1/2R3K1 w - - 0 1,WAC.015,[Move.from_uci('b8b7')],[],b8b7,True,,5.037,+1839
r4rk1/ppp2ppp/2n5/2bqp3/8/P2PB3/1PP1NPPP/R2Q1RK1 w - - 0 1,WAC.016,[Move.from_uci('e2c3')],[],c2c4,False,,71.063,-221
1k5r/pppbn1pp/4q1r1/1P3p2/2NPp3/1QP5/P4PPP/R1B1R1K1 w - - 0 1,WAC.017,[Move.from_uci('c4e5')],[],c4b6,False,,79.373,-39
R7/P4k2/8/8/8/8/r7/6K1 w - - 0 1,WAC.018,[Move.from_uci('a8h8')],[],a8h8,True,,11.824,+6
r1b2rk1/ppbn1ppp/4p3/1QP4q/3P4/N4N2/5PPP/R1B2RK1 w - - 0 1,WAC.019,[Move.from_uci('c5c6')],[],b5b2,False,,180.588,-320
r2qkb1r/1ppb1ppp/p7/4p3/P1Q1P3/2P5/5PPP/R1B2KNR b kq - 0 1,WAC.020,[Move.from_uci('d7b5')],[],d8f6,False,,359.393,-112
5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,WAC.021,[Move.from_uci('d2h6')],[],d2c3,False,,12.567,+348
r1bqk2r/ppp1nppp/4p3/n5N1/2BPp3/P1P5/2P2PPP/R1BQK2R w KQkq - 0 1,WAC.022,"[Move.from_uci('c4a2'), Move.from_uci('g5f7')]",[],d1h5,False,,84.736,+74
r3nrk1/2p2p1p/p1p1b1p1/2NpPq2/3R4/P1N1Q3/1PP2PPP/4R1K1 w - - 0 1,WAC.023,[Move.from_uci('g2g4')],[],e3f4,False,,118.877,-56
6k1/1b1nqpbp/pp4p1/5P2/1PN5/4Q3/P5PP/1B2B1K1 b - - 0 1,WAC.024,[Move.from_uci('g7d4')],[],g7d4,True,,61.677,+216
3R1rk1/8/5Qpp/2p5/2P1p1q1/P3P3/1P2PK2/8 b - - 0 1,WAC.025,[Move.from_uci('g4h4')],[],g4g3,False,,24.91,+917
3r2k1/1p1b1pp1/pq5p/8/3NR3/2PQ3P/PP3PP1/6K1 b - - 0 1,WAC.026,[Move.from_uci('d7f5')],[],b6g6,False,,60.596,+183
7k/pp4np/2p3p1/3pN1q1/3P4/Q7/1r3rPP/2R2RK1 w - - 0 1,WAC.027,[Move.from_uci('a3f8')],[],a3f8,True,,11.107,+2388
1r1r2k1/4pp1p/2p1b1p1/p3R3/RqBP4/4P3/1PQ2PPP/6K1 b - - 0 1,WAC.028,[Move.from_uci('b4e1')],[],b4e1,True,,20.356,+536
r2q2k1/pp1rbppp/4pn2/2P5/1P3B2/6P1/P3QPBP/1R3RK1 w - - 0 1,WAC.029,[Move.from_uci('c5c6')],[],f4g5,False,,13.572,+30
1r3r2/4q1kp/b1pp2p1/5p2/pPn1N3/6P1/P3PPBP/2QRR1K1 w - - 0 1,WAC.030,[Move.from_uci('e4d6')],[],c1c3,False,,51.849,+27
rb3qk1/pQ3ppp/4p3/3P4/8/1P3N2/1P3PPP/3R2K1 w - - 0 1,WAC.031,"[Move.from_uci('b7a8'), Move.from_uci('d5d6'), Move.from_uci('d5e6')]",[],d5d6,True,,4.901,+326
6k1/p4p1p/1p3np1/2q5/4p3/4P1N1/PP3PPP/3Q2K1 w - - 0 1,WAC.032,[Move.from_uci('d1d8')],[],d1d8,True,,5.015,+1166
8/p1q2pkp/2Pr2p1/8/P3Q3/6P1/5P1P/2R3K1 w - - 0 1,WAC.033,"[Move.from_uci('e4e5'), Move.from_uci('e4f4')]",[],e4e8,False,,14.079,+530
7k/1b1r2p1/p6p/1p2qN2/3bP3/3Q4/P5PP/1B1R3K b - - 0 1,WAC.034,[Move.from_uci('d4g1')],[],e5f4,False,,70.921,+785
r3r2k/2R3pp/pp1q1p2/8/3P3R/7P/PP3PP1/3Q2K1 w - - 0 1,WAC.035,[Move.from_uci('h4h7')],[],h4h7,True,,42.984,+95
3r4/2p1rk2/1pQq1pp1/7p/1P1P4/P4P2/6PP/R1R3K1 b - - 0 1,WAC.036,[Move.from_uci('e7e1')],[],d6d4,False,,11.072,+770
2r5/2rk2pp/1pn1pb2/pN1p4/P2P4/1N2B3/nPR1KPPP/3R4 b - - 0 1,WAC.037,[Move.from_uci('c6d4')],[],c6b4,False,,153.388,+118
4k3/p4prp/1p6/2b5/8/2Q3P1/P2R1PKP/4q3 w - - 0 1,WAC.038,[Move.from_uci('d2d8')],[],d2d8,True,,20.962,+378
r1br2k1/pp2bppp/2nppn2/8/2P1PB2/2N2P2/PqN1B1PP/R2Q1R1K w - - 0 1,WAC.039,[Move.from_uci('c3a4')],[],c3d5,False,,38.981,-32
3r1r1k/1p4pp/p4p2/8/1PQR4/6Pq/P3PP2/2R3K1 b - - 0 1,WAC.040,[Move.from_uci('d8c8')],[],d8b8,False,,85.308,+1113
1k6/5RP1/1P6/1K6/6r1/8/8/8 w - - 0 1,WAC.041,"[Move.from_uci('b5a5'), Move.from_uci('b5c5')]",[],b5c6,False,,16.115,+1589
r1b1r1k1/pp1n1pbp/1qp3p1/3p4/1B1P4/Q3PN2/PP2BPPP/R4RK1 w - - 0 1,WAC.042,[Move.from_uci('b4a5')],[],b4f8,False,,78.035,-116
r2q3k/p2P3p/1p3p2/3QP1r1/8/B7/P5PP/2R3K1 w - - 0 1,WAC.043,"[Move.from_uci('a3e7'), Move.from_uci('d5a8')]",[],d5a8,True,,5.387,+1452
3rb1k1/pq3pbp/4n1p1/3p4/2N5/2P2QB1/PP3PPP/1B1R2K1 b - - 0 1,WAC.044,[Move.from_uci('d5c4')],[],e6f4,False,,88.087,-83
7k/2p1b1pp/8/1p2P3/1P3r2/2P3Q1/1P5P/R4qBK b - - 0 1,WAC.045,[Move.from_uci('f1a1')],[],f1g2,False,,102.9,+400
