fen,success,depth,nodes,time_s,score
1K3RQ1/ppn3p1/r3N1pq/2pN4/2b1kPB1/b5r1/8/2BR4 w - - 0 1,True,1,158,1.723,"PovScore(Cp(+50499), WHITE)"
1r4k1/8/5PP1/K7/6NR/7B/1r6/7R w - - 0 1,True,2,315,3.15,"PovScore(Cp(+50335), WHITE)"
2q5/4B2p/7n/4p1pk/P2n1b2/R3P2P/2r3P1/1Q3R1K b - - 0 1,True,1,108,0.09,"PovScore(Cp(+50499), BLACK)"
4R3/1k6/bp6/1p1P4/1K6/8/1B6/3Q4 w - - 0 1,True,2,713,0.235,"PovScore(Cp(+49644), WHITE)"
8/3K2p1/p7/2pkpB1p/2pbNp2/2p4r/2n1P3/3Qq1n1 w - - 0 1,True,1,64,0.058,"PovScore(Cp(+50499), WHITE)"
8/3P2P1/3N4/3k4/4N3/4K3/8/8 w - - 0 1,True,2,381,0.166,"PovScore(Cp(+49410), WHITE)"
8/4p3/7R/n7/rp6/kp5Q/8/1K6 w - - 0 1,True,2,464,0.063,"PovScore(Cp(+50415), WHITE)"
8/8/2p5/8/2P1p1Pp/1P2Pk1P/rpB1bP2/b2Q2K1 w - - 0 1,True,1,73,0.041,"PovScore(Cp(+50499), WHITE)"
8/8/8/8/8/6P1/6k1/4KR1R w K - 0 1,True,2,351,0.112,"PovScore(Cp(+50119), WHITE)"
k1B5/2p5/NbN5/8/P2p4/P2p4/P1prp3/2RbK3 w - - 0 1,True,1,62,0.057,"PovScore(Cp(+50499), WHITE)"
