fen,id,expected_bm,expected_am,given_move,bm_success,am_success,time_s,score
8/8/p2p3p/3k2p1/PP6/3K1P1P/8/8 b - - 0 1,E_E_T 001 - B vs B,[Move.from_uci('d5c6')],[],d5e6,False,,13.381,+94
8/p5pp/3k1p2/3p4/1P3P2/P1K5/5P1P/8 b - - 0 1,E_E_T 002 - B vs B,[Move.from_uci('g7g5')],[],d6e7,False,,44.614,+23
8/1p3p2/p7/8/2k5/4P1pP/2P1K1P1/8 w - - 0 1,E_E_T 003 - B vs B,[Move.from_uci('h3h4')],[],h3h4,True,,8.335,+314
8/pp5p/3k2p1/8/4Kp2/2P1P2P/P7/8 w - - 0 1,E_E_T 004 - B vs B,[Move.from_uci('e3f4')],[],e4d3,False,,48.171,+103
8/7p/1p3pp1/p2K4/Pk3PPP/8/1P6/8 b - - 0 1,E_E_T 005 - B vs B,"[Move.from_uci('b4b3'), Move.from_uci('f6f5')]",[],b4b3,True,,17.851,+45
2k5/3b4/PP3K2/7p/4P3/1P6/8/8 w - - 0 1,E_E_T 006 - B vs L,[Move.from_uci('f6e7')],[],e4e5,False,,8.319,+228
8/3Pb1p1/8/3P2P1/5P2/7k/4K3/8 w - - 0 1,E_E_T 007 - B vs L,[Move.from_uci('e2d3')],[],d5d6,False,,19.184,+133
8/1Pk2Kpp/8/8/4nPP1/7P/8/8 b - - 0 1,E_E_T 008 - B vs S,[Move.from_uci('e4f2')],[],c7b6,False,,60.302,+652
2n5/4k1p1/P6p/3PK3/7P/8/6P1/8 b - - 0 1,E_E_T 009 - B vs S,[Move.from_uci('g7g6')],[],e7f8,False,,28.89,+404
4k3/8/3PP1p1/8/3K3p/8/3n2PP/8 b - - 0 1,E_E_T 010 - B vs S,[],[Move.from_uci('d2f1')],e8f8,,True,20.993,+513
6k1/5p2/P3p1p1/2Qp4/5q2/2K5/8/8 b - - 0 1,E_E_T 011 - D vs D,[],"[Move.from_uci('f4c1'), Move.from_uci('f4e5')]",f4c4,,True,43.936,+1891
8/6pk/8/2p2P1p/6qP/5QP1/8/6K1 w - - 0 1,E_E_T 012 - D vs D,"[Move.from_uci('f3d3'), Move.from_uci('f3f2')]",[],f3g4,False,,19.946,-2
5q1k/5P1p/Q7/5n1p/6P1/7K/8/8 w - - 0 1,E_E_T 013 - D vs D&S,[Move.from_uci('a6a1')],[],a6a1,True,,28.032,+35
4qr2/4p2k/1p2P1pP/5P2/1P3P2/6Q1/8/3B1K2 w - - 0 1,E_E_T 014 - D&L vs D&T,[Move.from_uci('d1a4')],[],g3g6,False,,34.336,+161
8/kn4b1/P2B4/8/1Q6/6pP/1q4pP/5BK1 w - - 0 1,E_E_T 015 - D&L&L vs D&L&S,[Move.from_uci('d6c5')],[],d6b8,False,,56.709,+452
6k1/1p2p1bp/p5p1/4pb2/1q6/4Q3/1P2BPPP/2R3K1 w - - 0 1,E_E_T 017 - D&T&L vs D&L&L,[Move.from_uci('e3a3')],[],e3h6,False,,25.53,+57
1rr2k2/p1q5/3p2Q1/3Pp2p/8/1P3P2/1KPRN3/8 w - e6 0 1,E_E_T 018 - D&T&S vs D&T&T,[Move.from_uci('d2d1')],[],g6f6,False,,6.589,+408
r5k1/3R2p1/p1r1q2p/P4p2/5P2/2p1P3/5P1P/1R1Q2K1 w - - 0 1,E_E_T 019 - D&T&T vs D&T&T,[],[Move.from_uci('b1b7')],b1b8,,True,36.848,+16
8/1p4k1/pK5p/2B5/P4pp1/8/7P/8 b - - 0 1,E_E_T 020 - L vs B,[],[Move.from_uci('g4g3')],g7h7,,True,17.731,-187
8/6p1/6P1/6Pp/B1p1p2K/6PP/3k2P1/8 w - - 0 1,E_E_T 021 - L vs B,[Move.from_uci('a4d1')],[],g3g4,False,,9.358,+470
8/4k3/8/2Kp3p/B3bp1P/P7/1P6/8 b - - 0 1,E_E_T 022 - L vs L,[Move.from_uci('e4g2')],[],e7d8,False,,19.041,-25
8/8/2p1K1p1/2k5/p7/P4BpP/1Pb3P1/8 w - - 0 1,E_E_T 023 - L vs L,[],[Move.from_uci('e6d7')],e6e7,,True,14.957,+188
8/3p3B/5p2/5P2/p7/PP5b/k7/6K1 w - - 0 1,E_E_T 024 - L vs L,[Move.from_uci('b3b4')],[],g1h1,False,,7.695,-52
8/p4p2/1p2k2p/6p1/P4b1P/1P6/3B1PP1/6K1 w - - 0 1,E_E_T 025 - L vs L,[],[Move.from_uci('d2f4')],d2f4,,False,15.604,-40
3b3k/1p4p1/p5p1/4B3/8/7P/1P3PP1/5K2 b - - 0 1,E_E_T 027 - L vs L,[],[Move.from_uci('d8f6')],h8g8,,True,10.917,+60
4b1k1/1p3p2/4pPp1/p2pP1P1/P2P4/1P1B4/8/2K5 w - - 0 1,E_E_T 028 - L vs L,[Move.from_uci('b3b4')],[],d3f1,False,,7.423,+188
8/3k1p2/n3pP2/1p2P2p/5K2/1PB5/7P/8 b - - 0 1,E_E_T 029 - L vs S,[],"[Move.from_uci('d7c6'), Move.from_uci('b5b4')]",h5h4,,True,12.778,+106
8/8/4p1p1/1P1kP3/4n1PK/2B4P/8/8 b - - 0 1,E_E_T 030 - L vs S,[Move.from_uci('d5c5')],[],g6g5,False,,6.76,+1150
8/5k2/4p3/B2p2P1/3K2n1/1P6/8/8 b - - 0 1,E_E_T 031 - L vs S,[Move.from_uci('f7g6')],[],g4f2,False,,11.066,+144
5b2/p4B2/5B2/1bN5/8/P3r3/4k1K1/8 w - - 0 1,E_E_T 032 - L&L&S vs T&L&L,[Move.from_uci('f7h5')],[],f7h5,True,,11.652,+94
8/p5pq/8/p2N3p/k2P3P/8/KP3PB1/8 w - - 0 1,E_E_T 033 - L&S vs D,[Move.from_uci('g2e4')],[],b2b3,False,,2.362,+654
1b6/1P6/8/2KB4/6pk/3N3p/8/8 b - - 0 1,E_E_T 034 - L&S vs L&B,[Move.from_uci('h4g3')],[],h3h2,False,,6.389,+12
8/p7/7k/1P1K3P/8/1n6/4Bp2/5Nb1 b - - 0 1,E_E_T 035 - L&S vs L&S,[Move.from_uci('b3a5')],[],b3c1,False,,12.826,+12
8/8/8/3K4/2N5/p2B4/p7/k4r2 w - - 0 1,E_E_T 036 - L&S vs T&B,[Move.from_uci('d5c5')],[],d3f1,False,,11.135,+340
8/8/2kp4/5Bp1/8/5K2/3N4/2rN4 w - - 0 1,E_E_T 037 - L&S&S vs T&B,[Move.from_uci('d2b3')],[],d1e3,False,,5.036,+503
k2K4/1p4pN/P7/1p3P2/pP6/8/8/8 w - - 0 1,E_E_T 038 - S vs B,"[Move.from_uci('f5f6'), Move.from_uci('d8c7')]",[],d8c7,True,,7.345,+580
k2N4/1qpK1p2/1p6/1P4p1/1P4P1/8/8/8 w - - 0 1,E_E_T 039 - S vs D,[Move.from_uci('d8c6')],[],d8b7,False,,4.302,+47
6k1/4b3/4p1p1/8/6pP/4PN2/5K2/8 w - - 0 1,E_E_T 040 - S vs L,"[Move.from_uci('f3e5'), Move.from_uci('f3h2')]",[],f3e5,True,,7.714,-27
8/8/6Np/2p3kP/1pPbP3/1P3K2/8/8 w - - 0 1,E_E_T 041 - S vs L,[Move.from_uci('e4e5')],[],g6f8,False,,6.585,+94
