fen,success,depth,nodes,time_s,score
1K3RQ1/ppn3p1/r3N1pq/2pN4/2b1kPB1/b5r1/8/2BR4 w - - 0 1,True,2,796,2.136,+50168
1r4k1/8/5PP1/K7/6NR/7B/1r6/7R w - - 0 1,True,2,311,0.075,+50415
2q5/4B2p/7n/4p1pk/P2n1b2/R3P2P/2r3P1/1Q3R1K b - - 0 1,True,1,108,0.1,+50499
4R3/1k6/bp6/1p1P4/1K6/8/1B6/3Q4 w - - 0 1,True,2,818,0.226,+49490
8/3K2p1/p7/2pkpB1p/2pbNp2/2p4r/2n1P3/3Qq1n1 w - - 0 1,True,1,64,0.073,+50499
8/3P2P1/3N4/3k4/4N3/4K3/8/8 w - - 0 1,True,2,449,0.182,+49626
8/4p3/7R/n7/rp6/kp5Q/8/1K6 w - - 0 1,True,2,446,0.083,+50286
8/8/2p5/8/2P1p1Pp/1P2Pk1P/rpB1bP2/b2Q2K1 w - - 0 1,True,1,78,0.07,+50499
8/8/8/8/8/6P1/6k1/4KR1R w K - 0 1,True,2,338,0.108,+49829
k1B5/2p5/NbN5/8/P2p4/P2p4/P1prp3/2RbK3 w - - 0 1,True,1,62,0.046,+50499
